chant_type,mode,incipit,page
antiphona,1,Pueri. .. vestimenta,140
antiphona,1,Qui exspectant Dominum,691
antiphona,8,Qui habitas in crelis,690
antiphona,2,Redemptor meus vivit,687
antiphona,2,Responsum accepit,541
antiphona,4,Si ego Dominus,166
antiphona,2,Sitivit anima mea,700
antiphona,6,Ubi caritas,168
antiphona,8,Vidi aquam,
hymnus,8,l£terne rex altissime,855
hymnus,7,Benedictus es,37
hymnus,1,"Gloria, laus",
hymnus,,Redemptor . I,59
hymnus,3,"Pange, lingua ... corporis",170
hymnus,1,"Pange, lingua ... prrelium",182
hymnus,4,Sacris solemniis,851
hymnus,1,Sacris solemniis (alter tonus),8
hymnus,3,Te Deum (tonus solemnis),838
hymnus,3,Te Deum (tonus simplex),841
hymnus,3,Te Deum (secundum morem Romanum),844
hymnus,8,V eni Creator,848
hymnus,8,Verbum supernum,854
psalmus,,"Ad te, Domine, levavi ani- mam meam",701
psalmus,,Ad te levavi oculos meos,690
psalmus,,Confitemini. .. et invocate,853
psalmus,,Confitemini... quoniam b onus,137
psalmus,8,"Conserva me, Deus",702
psalmus,,"Credidi, etiam cum locu- tus sum",687
psalmus,,De profundis,678
psalmus,,"Dilexi, quoniam exaudit Dominus",686
psalmus,,"Domine, quis habitabit",680
psalmus,,Domini est terra,139
psalmus,,Dominus illuminatio mea,704
psalmus,,Dominus pascit me,679
psalmus,,In convertendo,685
psalmus,4,Invocantem exaudi me Deus,703
psalmus,,Lretatus sum,684
psalmus,,Levabo oculos meos,689
psalmus,,"Memento, Domine, David",691
psalmus,,"Miserere mei, Deus",688
psalmus,,Misericordias Domini,683
psalmus,,Omnes gentes,140
psalmus,,Quemadmodum desiderat cervus,700
psalmus,,Can tic a evangelica Benedictus Dominus,856
psalmus,,Magnificat,856
psalmus,,i,
responsorium,4,Antequam nascerer,694
responsorium,8,Credo quod Redemptor meus vivit,694
responsorium,2,Emendemus in melius,66
responsorium,2,Ingrediente Domino,143
responsorium,1,"Libera me, Domine, de viis",696
responsorium,2,Obtulerunt,542
responsorium,4,Qui Lazarum resuscitasti,695
responsorium,,"Rogamus te, Domine",693
responsorium,4,"Subvenite, sancti Dei",692
responsorium,,Responsa Alleluia,685
responsorium,,"Domine, exaudi vocem meam",680
responsorium,,Facti sumus sicut consolati,685
responsorium,,In retemum cantabo,683
responsorium,,In domum Domini,684
responsorium,,In loco pascure,682
varia,,Improperia : Popule meus,176
varia,,Litanire (in Vigilia Paschali),192
varia,,Litanire Sanctorum,831
varia,,Tantum ergo,857
