chant_type,mode,incipit,page
alleluia,7,"Domine, exaudi",334
alleluia,6,"Domine, in vinute tua",292
alleluia,7,"Domine, refugium",321
alleluia,8,Dominus dixit ad me,43
alleluia,8,Dominus in Sina,236
alleluia,2,"Dominus regnavit, decorem",46
alleluia,8,"Dominus regnavit, exsultet",266
alleluia,8,Dulce lignum,598
alleluia,1,Dum complerentur,250
alleluia,1,Ego sum pastor bonus,223
alleluia,1,Ego vos elegi,429
alleluia,4,Emitte Spiritum tuum,253
alleluia,2,Emitte Spiritum tuum ( alte- ra melodia),249
alleluia,2,Eripe me,308
alleluia,4,"Excita, Domine",23
alleluia,7,Exivi a Patre,230
alleluia,7,Exsultabo et lretabor,656
alleluia,7,Exsultate Deo,312
alleluia,8,Fac nos innocuam,558
alleluia,4,Fecisti viriliter,866
alleluia,8,"Felix es, sacra Virgo",414
alleluia,1,Franciscus pauper,613
alleluia,1,Fulgebunt iusti,460
alleluia,4,"Gaudete, iusti",430
alleluia,8,Hrec dies,214
alleluia,8,Hrec est vera fratemitas,460
alleluia,4,Hrec est virgo sapiens,50
alleluia,2,Hie est discipulus,637
alleluia,2,Hie est sacerdos,449
alleluia,7,In die resurrectionis,216
alleluia,2,In exitu Israel,348
alleluia,3,"In te, Domine, speravi",296
alleluia,2,Inveni David,446
alleluia,3,lubilate Deo,258
alleluia,1,Iuravit Dominus,489
alleluia,1,lusti epulentur,461
alleluia,1,Iustorum anima:,462
alleluia,1,lustus germinabit,496
alleluia,2,Iustus non conturbabitur,479
alleluia,1,Iustus ut palma,516
alleluia,7,Lretabitur iustus,479
alleluia,1,Lretatus sum,19
alleluia,8,"Lauda, anima mea",355
alleluia,4,"Lauda, Jerusalem",358
alleluia,4,Laudate Deum,262
alleluia,2,Laudate Dominum,273
alleluia,4,"Laudate, pueri",215
alleluia,7,Levita Laurentius,588
alleluia,1,Loquebantur,431
alleluia,2,Loquebar,528
alleluia,7,Magnus Dominus,302
alleluia,2,Magnus sanctus Paulus,537
alleluia,5,"Memento, Domine, David",490
alleluia,1,Mirabilis Dominus,462
alleluia,8,Mittat vobis,646
alleluia,7,Multifarie,52
alleluia,8,Nimis honorati sunt,431
alleluia,1,Non vos relinquam,242
alleluia,,Ioachim sancte,58
alleluia,,quam bonus,517
alleluia,,quam pulchra,50
alleluia,1,Omnes gentes,298
alleluia,4,Oportebat,220
alleluia,8,Ostende nobis,16
alleluia,3,Paratum cor meum,344
alleluia,7,Pascha nostrum,197
alleluia,7,Post dies octo,217
alleluia,4,"Post partum, Virgo",414
alleluia,1,"Posuisti, Domine",480
alleluia,1,Potestas eius,389
alleluia,4,Pretiosa,463
alleluia,1,Propitius esto,345
alleluia,2,Propter veritatem,415
alleluia,4,Qui posuit fines,364
alleluia,2,Qui sequitur me,480
alleluia,1,Qui timent Dominum,352
alleluia,7,Quinque prudentes virgines,502
alleluia,7,Quoniam Deus,327
alleluia,2,Redemptionem,223
alleluia,1,Regnavit Dominus,242
alleluia,8,Requiem a:ternam,672
alleluia,1,"Rogavi pro te, Petre",549
alleluia,8,Sancte Michael,609
alleluia,8,Sancte Paule,6
alleluia,2,Sancti tui ... benedicent,46
alleluia,8,Sancti tui. .. florebunt,464
alleluia,1,Senex puerum portabat,544
alleluia,7,Sollemnitas,597
alleluia,1,"Solve, iubente Deo",665
alleluia,8,Specie tua,416
alleluia,8,Spiritus est qui vivificat,245
alleluia,8,Spiritus Sanctus docebit,4
alleluia,2,Stabat sancta Maria,602
alleluia,1,Surrexit Christus et illuxit,230
alleluia,2,Surrexit Christus qui creavit,209
alleluia,1,Surrexit Dominus de sepul- cro,203
alleluia,8,Surrexit Dominus vere,206
alleluia,8,Tanto tempore,560
alleluia,7,Te decet hymnus,305
alleluia,5,Te gloriosus,432
alleluia,5,Te martyrum,4
alleluia,1,Timebunt gentes,337
alleluia,3,Tollite iugum meum,385
alleluia,1,Tota pulchra es,630
alleluia,2,Tu es Petrus,576
alleluia,8,Tu es sacerdos,449
alleluia,2,"Tu, puer",57
alleluia,3,"Veni, Domine",36
alleluia,2,"Veni, Sancte Spiritus",253
alleluia,8,Venite ad me,619
alleluia,7,"Venite, exsultemus",324
alleluia,2,Verba mea,280
alleluia,8,Verbo Domini,361
alleluia,2,Video ca:los apertos,634
alleluia,2,Vidimus stellam,58
alleluia,6,Vir Dei Benedictus,870
alleluia,8,Virga !esse,416
alleluia,,Sequentire,
alleluia,6,La:ta dies,871
alleluia,7,"Lauda, Sion",379
alleluia,2,Stabat Mater,602
alleluia,1,"Veni, Sancte Spiritus",253
alleluia,1,Victima: paschali laudes,198
tractus,8,Ab ortu solis,163
tractus,8,"Absolve, Domine",672
tractus,8,Ad te levavi,97
tractus,8,Attende ca:lum,189
tractus,2,"Audi, filia",4
tractus,8,Beatus vir,481
tractus,8,Cantemus Domino,186
tractus,8,Commovisti,89
tractus,2,Confitemini Domino,158
tractus,8,De profundis,673
tractus,8,Desiderium,432
tractus,2,"Deus, Deus meus",144
tractus,2,"Domine, exaudi",172
tractus,2,"Domine, non secundum pec- cata nostra",64
tractus,2,Emine Spiritum tuum,661
tractus,2,"Gaude, Maria Virgo",418
tractus,8,Jubilate Domino,185
tractus,8,Laudate Dominum,187
tractus,8,Qui confidunt,109
tractus,2,Qui habitat,73
tractus,8,Qui seminant,465
tractus,8,Sa:pe expugnaverunt,122
tractus,8,Sicut cervus,190
tractus,8,"Veni, sponsa Christi",503
tractus,8,Vinea facta est,188
offertorium,2,"Ad te, Domine, levavi",17
offertorium,1,Afferentur.. . post earn,505
offertorium,4,Afferentur ... proxima:,504
offertorium,8,Angelus Domini,217
offertorium,2,Anima nostra,466
offertorium,1,Ascendit Deus,237
offertorium,8,Assumpta est Maria,592
offertorium,8,"Audi, Israel",30
offertorium,8,"Ave, Maria",630
offertorium,8,"Ave, Maria ... et benedi- ctus",36
offertorium,8,"Beata es, Virgo Maria",420
offertorium,5,"Benedic, anima mea",362
offertorium,1,Benedicam Dominum,293
offertorium,2,"Benedicite, gentes",231
offertorium,8,Benedictus es ... et non tra- das,131
offertorium,3,Benedictus es... in labiis meis,277
offertorium,8,Benedictus qui venit,60
offertorium,3,Benedictus sit,375
offertorium,4,"Benedixisti, Domine",23
offertorium,8,Benedixerunt earn,866
offertorium,8,"Bonum est confiteri .270,369",
offertorium,4,Confessio,589
offertorium,4,"Confirma hoc, Deus",255
offertorium,6,Confitebor Domino,240
offertorium,1,"Confitebor tibi, Domine",123
offertorium,7,Confitebuntur ca:li,441
offertorium,4,Confortamini,26
